smiles,ChEMBLID,IC50,units
COc1cc(NC(=O)Nc2cccc(C(F)(F)F)c2)ccc1Oc1ccnc2[nH]c(=O)[nH]c12,CHEMBL496203,16.0,nM
Cc1ccc(NC(=O)c2cccc(N(C)C)c2)cc1C(=O)Nc1cccnc1,CHEMBL480200,16.0,nM
Cc1cncc(NC(=O)c2cc(NC(=O)c3cccc(C(C)(C)C#N)c3)ccc2C)c1,CHEMBL519143,16.0,nM
Cc1cccc(C(=O)Nc2ccc(C)c(C(=O)Nc3cccnc3)c2)c1,CHEMBL471793,16.0,nM
Cc1ccc(NC(=O)c2cccc(C(C)(C)C#N)c2)cc1C(=O)Nc1cnc(N)c(Cl)c1,CHEMBL475799,16.0,nM
Cc1ccc2c(Nc3cccc(C(F)(F)F)c3)nccc2c1Nc1ncccc1-c1ccncn1,CHEMBL571703,17.0,nM
Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Oc2ccnc3[nH]c(=O)cnc23)cc1F,CHEMBL1213884,17.0,nM
O=C(Nc1ccc(Oc2ccnc3[nH]c(S)nc23)cc1F)Nc1cc(C(F)(F)F)ccc1F,CHEMBL1212949,17.0,nM
CNC(=O)c1cncc(NC(=O)c2cc(NC(=O)c3cccc(C(C)(C)C#N)c3)ccc2C)c1,CHEMBL475795,17.0,nM
CC(C)(C)c1cccc(C(=O)Nc2cccc(Oc3cccc4[nH]c(=O)[nH]c34)c2)c1,CHEMBL599659,17.0,nM
COc1cccc(-c2c(-c3ccncc3)nn3c(-c4ccc(N5CC6CCC(C5)N6C)cc4)ccnc23)c1,CHEMBL1080832,17.0,nM
CCN1C2CCC1CC(c1ccnc3c(-c4ccc(C)c5[nH]ncc45)c(-c4ccncc4)nn13)C2,CHEMBL570444,17.0,nM
Cn1c(=O)[nH]c2nccc(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)c4ccccc34)c21,CHEMBL524068,17.0,nM
CCn1cc(-c2ccnc3[nH]ccc23)c(-c2cccc(NC(=O)Nc3ccccc3)c2)n1,CHEMBL498307,17.4,nM
O=C(Nc1ccc(F)c(-c2ccnc3c(-c4cn[nH]c4)cnn23)c1)c1cccc(C(F)(F)F)c1,CHEMBL1080438,18.0,nM
C#Cc1cccc(Nc2nccc3c(Nc4ncccc4-c4cc(NC)ncn4)c(C)ccc23)c1,CHEMBL571278,18.0,nM
CNc1nccc(-c2[nH]c(C(F)(F)F)nc2-c2cccc(NC(=O)Cc3ccc(Cl)cc3)c2)n1,CHEMBL258454,18.0,nM
Cn1cc(-c2ccc(/C(N)=N\O)cc2)c(-c2ccncc2)n1,CHEMBL497866,18.4,nM
CSc1cc(Oc2ccnc3[nH]c(=O)cnc23)ccc1NC(=O)Nc1cc(C(C)(C)C)nn1-c1ccc(C)cc1,CHEMBL1214056,19.0,nM
Cn1c(=O)[nH]c2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccccc4)c4ccccc34)c21,CHEMBL1090977,19.0,nM
CSc1cc(Oc2ccnc3[nH]c(=O)c(C)nc23)ccc1NC(=O)Nc1cc(C(C)(C)C)nn1-c1ccccc1,CHEMBL1214055,20.0,nM
O=C(Nc1cccc(-c2ccnc3c(-c4ccc(CN5CCCC5)cc4)cnn23)c1)c1cccc(C(F)(F)F)c1,CHEMBL1087522,20.0,nM
O=C(Nc1ccc(Oc2ccnc3[nH]c(=O)c(=O)[nH]c23)cc1)Nc1ccc(Cl)c(C(F)(F)F)c1,CHEMBL1213822,21.0,nM
O=C(Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)cc1)Nc1cccc(OC(F)(F)F)c1,CHEMBL490454,21.0,nM
COc1cc(-c2c(-c3ccncc3)nn3c(-c4ccc(N5C[C@@H]6C[C@H]5CN6C)cc4)ccnc23)ccc1F,CHEMBL1080616,21.0,nM
CNc1ncc2cc(-c3c(C)ccc4c(Nc5ccc6c(c5)NC(=O)C6(C)C)nccc34)ccc2n1,CHEMBL576985,21.0,nM
Cn1c(=O)[nH]c2nccc(Oc3ccc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)cc3)c21,CHEMBL485302,22.0,nM
O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)cc1C(F)(F)F,CHEMBL496185,22.0,nM
O=C(Nc1cccc(-c2nc(C3CC3)[nH]c2-c2ccnc(NCCN3CCNC3=O)n2)c1)Nc1ccc(Cl)c(C(F)(F)F)c1,CHEMBL256921,22.0,nM
CNc1ncc2cc(-c3c(C)ccc4c(Nc5cc(C(C)(C)C)nn5C)nccc34)ccc2n1,CHEMBL569882,22.0,nM
OCCN1C2CCC1CC(c1ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn13)C2,CHEMBL570443,22.8,nM
O=C(Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)cc1)Nc1ccc(Cl)c(C(F)(F)F)c1,CHEMBL514688,23.0,nM
O=C(Nc1ccc(Oc2cccc3[nH]c(=O)[nH]c23)cc1)Nc1ccc(Cl)c(C(F)(F)F)c1,CHEMBL590711,23.0,nM
O=C(Nc1cccc(Oc2cccc3[nH]c(=O)[nH]c23)c1)c1cccc(OC(F)(F)C(F)F)c1,CHEMBL596998,23.0,nM
Cn1c(=O)[nH]c2nccc(Oc3ccc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)c4ccccc34)c21,CHEMBL498459,23.0,nM
Cc1cc(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)ccc1Oc1ccnc2[nH]c(=O)[nH]c12,CHEMBL522724,23.0,nM
CN(C)Cc1ccc(-c2cnn3c(-c4cccc(NC(=O)c5cccc(C(F)(F)F)c5)c4)ccnc23)cc1,CHEMBL1087397,24.0,nM
CSc1cc(Oc2ccnc3[nH]c(=O)c(C)nc23)ccc1NC(=O)Nc1cc(C(C)(C)C)nn1-c1ccc(C)cc1,CHEMBL1214057,24.0,nM
CNC(=O)Nc1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,CHEMBL394503,24.0,nM
COc1cc(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)ccc1Oc1ccnc2[nH]c(=O)[nH]c12,CHEMBL496019,25.0,nM
O=C(Nc1cccc(-c2ccnc3cc(-c4ccncc4)nn23)c1)Nc1cccc(C(F)(F)F)c1,CHEMBL1091843,25.0,nM
CN(C)c1nc2c(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)c(F)c3)ccnc2[nH]1,CHEMBL1213754,25.0,nM
CNC(=O)c1cc(Oc2ccc3c(c2)nc(Nc2cccc(Br)c2)n3C)ccn1,CHEMBL471625,25.0,nM
CCn1cc(-c2ccnc3[nH]ccc23)c(-c2cccc(NC(=O)Nc3c(F)cccc3F)c2)n1,CHEMBL496275,25.7,nM
CNc1nccc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)n1,CHEMBL246424,26.0,nM
CN(C)CCc1ccc(-c2cnn3c(-c4cccc(NC(=O)c5cccc(C(F)(F)F)c5)c4)ccnc23)cc1,CHEMBL1087892,26.0,nM
CNC(=O)c1cc(Oc2ccc3[nH]c(Nc4cccc(C(C)(C)C)c4)nc3c2)ccn1,CHEMBL511997,26.0,nM
Nc1ncc(NC(=O)c2cc(NC(=O)c3cccc(C(F)(F)F)c3)ccc2Cl)cc1Cl,CHEMBL475817,27.0,nM
COc1cc(Cl)c(C(F)(F)F)cc1NC(=O)Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)cc1,CHEMBL490459,27.0,nM
Cn1c(=O)[nH]c2c(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccccc4)c4ccccc34)ccnc21,CHEMBL1090980,27.0,nM
CNC(=O)c1cc(Oc2ccc3c(c2)nc(Nc2ccc(Cl)c(C(F)(F)F)c2)n3C)ccn1,CHEMBL470364,28.0,nM
Cc1ccc(NC(=O)c2cccc(OCC(C)C)c2)cc1C(=O)Nc1cccnc1,CHEMBL520252,28.0,nM
O=C(Nc1ccc(Sc2ccnc3[nH]c(=O)[nH]c23)cc1)Nc1cccc(C(F)(F)F)c1,CHEMBL449813,28.0,nM
O=C(Nc1ccc(Sc2ccnc3[nH]c(=O)[nH]c23)cc1)Nc1cc(C(F)(F)F)ccc1F,CHEMBL491055,29.0,nM
Cc1ccc(NC(=O)c2cccc(S(N)(=O)=O)c2)cc1C(=O)Nc1cccnc1,CHEMBL475866,30.0,nM
CN(C)CCNc1ccc(-c2cnn3c(-c4cccc(NC(=O)c5cccc(C(F)(F)F)c5)c4)ccnc23)cn1,CHEMBL1087781,30.0,nM
O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)c2ccccc12,CHEMBL521725,30.0,nM
CN1CCN(c2ccc(-c3cnn4c(-c5cc(NC(=O)c6cccc(C(F)(F)F)c6)ccc5F)ccnc34)cn2)CC1,CHEMBL1076204,30.0,nM
Nc1nc2c(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)c(F)c3)ccnc2[nH]c1=O,CHEMBL1213689,30.0,nM
Cn1c(Nc2ccc(Br)cc2)nc2cc(Oc3ccnc(C(=O)NCCC4CNCCO4)c3)ccc21,CHEMBL511119,31.0,nM
O=C(Nc1cccc(-c2ccnc3cc(-c4ccncc4)nn23)c1)c1cccc(C(F)(F)F)c1,CHEMBL1089082,32.0,nM
Oc1cc(-c2[nH]cnc2-c2ccncc2)ccc1Cl,CHEMBL200118,33.0,nM
CCOC(=O)c1cc2c(-c3cn(CC)nc3-c3cccc(NC(=O)Nc4ccccc4)c3)ccnc2[nH]1,CHEMBL1964273,33.9,nM
CN(C)CC(=O)Nc1ccc(-c2cnn3c(-c4cccc(NC(=O)c5cccc(C(F)(F)F)c5)c4)ccnc23)cc1,CHEMBL1076440,34.0,nM
NC(=O)c1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,CHEMBL248051,34.0,nM
CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)[nH]c34)c3ccccc23)n(-c2ccccc2)n1,CHEMBL1093756,35.0,nM
CNc1cc(-c2cccnc2Nc2c(C)ccc3c(Nc4ccc(Cl)cc4)nccc23)ncn1,CHEMBL565885,35.0,nM
Cc1ccc(NC(=O)c2cccc(C(C)(C)C#N)c2)cc1C(=O)Nc1cncc(Cl)c1,CHEMBL475794,35.0,nM
NC(=O)c1cccc(Nc2nccc(-c3[nH]c(C4CC4)nc3-c3cccc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)c3)n2)c1,CHEMBL255496,35.0,nM
CCOC(=O)N1C2CCC1CC(c1ccnc3c(-c4ccc5cc[nH]c5c4)c(-c4ccncc4)nn13)C2,CHEMBL583894,36.0,nM
Cc1cc(Oc2ccnc3[nH]c(=O)[nH]c23)ccc1NC(=O)Nc1ccc(Cl)c(C(F)(F)F)c1,CHEMBL524801,37.0,nM
CN1CCN(Cc2ccc(-c3cnn4c(-c5cccc(NC(=O)c6cccc(C(F)(F)F)c6)c5)ccnc34)cc2)CC1,CHEMBL1076482,38.0,nM
CNc1ccc(NC(=O)c2cc(NC(=O)c3cccc(C(C)(C)C#N)c3)ccc2C)cn1,CHEMBL475045,38.0,nM
O=C(Nc1ccccc1)Nc1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,CHEMBL397345,39.0,nM
CNC(=O)c1cc(Oc2ccc3c(c2)nc(Nc2ccccc2Br)n3C)ccn1,CHEMBL471415,39.0,nM
CNc1cc(-c2cccnc2Nc2c(C)ccc3c(Nc4ccc(C#N)cc4)nccc23)ncn1,CHEMBL570567,39.0,nM
CNC(=O)c1cc(Oc2ccc3[nH]c(Nc4ccc(Br)cc4)nc3c2)ccn1,CHEMBL472448,39.0,nM
CC(C)(C)OC(=O)[C@H]1CCCN1C(=O)N1C2CCC1CC(c1ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn13)C2,CHEMBL571747,39.4,nM
CN(C)CCCNC(=O)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1,CHEMBL426476,40.0,nM
O=C(Nc1ccc2c(c1)OC(F)(F)C(F)(F)O2)c1ccccc1NCc1ccncc1,CHEMBL391781,40.0,nM
O=C(Cc1ccc(Cl)cc1)Nc1cccc(-c2nc(C(F)(F)F)[nH]c2-c2ccnc(NCCN3CCNC3=O)n2)c1,CHEMBL254965,40.0,nM
COc1cc2nccc(Oc3ccc4c(C(=O)Nc5ccc(Cl)cc5)cccc4c3)c2cc1OC,CHEMBL429743,40.0,nM
O=C(Nc1ccc(Sc2ccnc3[nH]c(=O)[nH]c23)cc1)Nc1ccc(Cl)c(C(F)(F)F)c1,CHEMBL489009,40.0,nM
O=C(Nc1cccc(-c2ccnc3cc(-c4ccncc4)nn23)c1)Nc1ccc(Cl)c(C(F)(F)F)c1,CHEMBL1091844,40.0,nM
CN(C)CC(=O)Nc1cccc(-c2cnn3c(-c4cccc(NC(=O)c5cccc(C(F)(F)F)c5)c4)ccnc23)c1,CHEMBL1076441,40.0,nM
CN(C)CCc1cccc(-c2cnn3c(-c4cccc(NC(=O)c5cccc(C(F)(F)F)c5)c4)ccnc23)c1,CHEMBL1088295,41.0,nM
CCn1cc(-c2ccnc3[nH]ccc23)c(-c2cccc(NC(=O)NC3CCCCC3)c2)n1,CHEMBL522902,41.7,nM
O=C(Nc1ccc(Cl)c(-c2ccnc3c(-c4cn[nH]c4)cnn23)c1)c1cccc(C(F)(F)F)c1,CHEMBL1080439,42.0,nM
O=C(Nc1ccc(Oc2ccnc3[nH]cnc23)cc1F)Nc1cc(C(F)(F)F)ccc1F,CHEMBL1213753,42.0,nM
CCN1C2CCC1CC(c1ccnc3c(-c4ccc(Cl)c(OC)c4)c(-c4ccncc4)nn13)C2,CHEMBL569768,43.5,nM
CN(C)Cc1cccc(-c2cnn3c(-c4cccc(NC(=O)c5cccc(C(F)(F)F)c5)c4)ccnc23)c1,CHEMBL1087894,44.0,nM
CN1CCN(c2ccc(-c3cnn4c(-c5cccc(NC(=O)c6cccc(C(F)(F)F)c6)c5)ccnc34)cn2)CC1,CHEMBL1076497,44.0,nM
CCN1C2CCC1CC(c1ccnc3c(-c4ccc(C(F)(F)F)c5[nH]ncc45)c(-c4ccncc4)nn13)C2,CHEMBL570642,45.0,nM
CNC(=O)c1cc(Oc2ccc3c(c2)nc(Nc2cccc(C(C)(C)C)c2)n3C)ccn1,CHEMBL470808,45.0,nM
Cn1c(=O)[nH]c2c(Oc3ccc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)cc3)ccnc21,CHEMBL523129,45.0,nM
CNC(=O)c1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,CHEMBL247437,45.0,nM
CCn1cc(-c2ccnc3[nH]c(C(=O)O)cc23)c(-c2cccc(NC(=O)Nc3ccccc3)c2)n1,CHEMBL1964274,45.7,nM
Cn1c(=O)[nH]c2c(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)ccnc21,CHEMBL523278,46.0,nM
CCN1C2CCC1CC(c1ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn13)C2,CHEMBL570422,46.6,nM
Cc1ccc(NC(=O)c2cc(NC(=O)c3cccc(C(C)(C)C#N)c3)ccc2C)cn1,CHEMBL503699,48.0,nM
Cc1ccc(NC(=O)c2cccc(C(C)(C)C#N)c2)cc1C(=O)Nc1ccc(C(C#N)N(C)C)nc1,CHEMBL492397,48.0,nM
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1NC(=O)c1cccnc1,CHEMBL507803,49.0,nM
O=C(Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)cc1)Nc1cc(C(F)(F)F)ccc1F,CHEMBL490653,52.0,nM
CN(C)CCNc1cc(-c2cc3nccc(-c4cccc(NC(=O)c5cccc(C(F)(F)F)c5)c4)n3n2)ccn1,CHEMBL1092180,53.0,nM
CCOC(=O)N1C2CCC1CC(c1ccnc3c(-c4ccc(Cl)c(OC)c4)c(-c4ccncc4)nn13)C2,CHEMBL584739,54.1,nM
CSc1cc(Oc2ccnc3[nH]c(=O)[nH]c23)ccc1NC(=O)Nc1cc(C(C)(C)C)nn1-c1ccc(C)cc1,CHEMBL1092541,56.0,nM
NC(=O)c1cccc(-c2cnn3c(-c4cccc(NC(=O)c5cccc(C(F)(F)F)c5)c4)ccnc23)c1,CHEMBL1086870,57.0,nM
CCN1C2CCC1CC(c1ccnc3c(-c4ccc(C#N)c(O)c4)c(-c4ccncc4)nn13)C2,CHEMBL570872,57.9,nM
Cn1c(=O)[nH]c2c(Oc3ccc(NC(=O)Nc4cccc(C(C)(C)C)c4)cc3)ccnc21,CHEMBL489823,60.0,nM
O=C(Nc1cccc(-c2ccnc3cc(-c4ccncc4)nn23)c1)c1ccc(Cl)c(C(F)(F)F)c1,CHEMBL1090083,60.0,nM
Cn1c(=O)n(C)c2c(Oc3ccc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)cc3)ccnc21,CHEMBL491054,61.0,nM
CNC(=O)c1cc(CNc2ccsc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,CHEMBL247618,61.0,nM
CNC(=O)c1cc(Oc2ccc3[nH]c(Nc4ccc(C(C)(C)C)cc4)nc3c2)ccn1,CHEMBL471407,63.0,nM
O=C(Nc1ccc2c(c1)CCC2)Nc1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,CHEMBL399571,64.0,nM
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)cnc34)cc2F)cc1,CHEMBL1213951,64.0,nM
O=C(Nc1cccc(-c2ccnc3cc(-c4ccnc(NCCCc5ncc[nH]5)c4)nn23)c1)c1cccc(C(F)(F)F)c1,CHEMBL1091689,66.0,nM
O=C(Nc1cccc(-c2ccnc3cc(-c4ccnc(NCCN5CCC(O)CC5)c4)nn23)c1)c1cccc(C(F)(F)F)c1,CHEMBL1091690,66.0,nM
CC(C)N1C2CCC1CC(c1ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn13)C2,CHEMBL570648,67.0,nM
O=C(Nc1cccc(-c2ccnc3cc(-c4ccnc(NCCN5CCCC5)c4)nn23)c1)c1cccc(C(F)(F)F)c1,CHEMBL1091686,68.0,nM
CCn1c(Nc2ccc(Br)cc2)nc2cc(Oc3ccnc(C(=O)NC)c3)ccc21,CHEMBL470149,68.0,nM
Cn1cc(-c2ccc(-c3cc[nH]n3)cc2)c(-c2ccncc2)n1,CHEMBL498467,68.4,nM
Cn1cc(-c2ccc3c(c2)C(=O)NC3)c(-c2ccncc2)n1,CHEMBL496477,68.4,nM
O=C(Nc1ccc(Oc2ccnc3[nH]nnc23)cc1F)Nc1cc(C(F)(F)F)ccc1F,CHEMBL1213692,69.0,nM
CNC(=O)Nc1ccc(CNc2ncsc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)cn1,CHEMBL247250,69.0,nM
Cn1cc(-c2ccc3cn[nH]c3c2)c(-c2ccncc2)n1,CHEMBL521732,70.0,nM
COc1cccc(-c2c(-c3ccncc3)nn3c(C4CC5CCC(C4)N5)ccnc23)c1,CHEMBL569735,70.8,nM
CC(=O)CN1C2CCC1CC(c1ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn13)C2,CHEMBL571971,75.9,nM
O=C(Nc1ccc(Oc2ccnc3ncc(=O)[nH]c23)cc1F)Nc1cc(C(F)(F)F)ccc1F,CHEMBL1214613,76.0,nM
C#CC(C)(C)c1cc(N=C(C)C)cc(C(=O)Nc2ccc(C)c(C(=O)Nc3cccnc3)c2)c1,CHEMBL475818,76.0,nM
Cc1ccc(NC(=O)c2cccc(C(C)(C)C#N)c2)cc1C(=O)Nc1ccc(N2CCOCC2)nc1,CHEMBL514026,79.0,nM
CCn1cc(-c2ccnc3[nH]cc(Br)c23)c(-c2cccc(NC(=O)Nc3ccccc3)c2)n1,CHEMBL456351,79.4,nM
COc1cc(N2CCC(N3CCN(S(C)(=O)=O)CC3)CC2)ccc1Nc1nccc(-c2c(-c3cccc(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1,CHEMBL507714,80.0,nM
O=C(Nc1cccc(-c2ncnc3sc(-c4ccncc4)cc23)c1)c1cccc(C(F)(F)F)c1,CHEMBL1090143,80.0,nM
CC(C)(C)NC(=O)NCCNc1nccc(-c2[nH]c(C3CC3)nc2-c2ccccc2Cl)n1,CHEMBL257986,83.0,nM
O=C(Nc1cccc(-c2ccnc3c(-c4cn[nH]c4)cnn23)c1)c1cccc(C(F)(F)F)c1,CHEMBL1081470,84.0,nM
O=c1[nH]c2nccc(Oc3ccc(NC(=S)Nc4ccc(Cl)c(C(F)(F)F)c4)cc3)c2[nH]1,CHEMBL489228,85.0,nM
CCOC(=O)N1C2CCC1CC(c1ccnc3c(-c4cccc(OC)c4)c(-c4ccncc4)nn13)C2,CHEMBL571557,87.0,nM
CNC(=O)c1cc(Oc2ccc3c(c2)nc(Nc2ccc(C(F)(F)F)cc2)n3C)ccn1,CHEMBL470591,88.0,nM
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)c(=O)[nH]c34)cc2F)cc1,CHEMBL1212951,90.0,nM
CCNC(=O)Nc1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,CHEMBL247793,90.0,nM
COc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1-c1ccnc2c(-c3cn[nH]c3)cnn12,CHEMBL1080437,98.0,nM
O=C(Nc1cccc(-c2ccnc3cc(N4CCOCC4)nn23)c1)c1cccc(C(F)(F)F)c1,CHEMBL1093105,99.0,nM
CNc1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,CHEMBL399534,100.0,nM
O=C(Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)cc1)Nc1cc(Cl)cc(C(F)(F)F)c1,CHEMBL515938,100.0,nM
Cn1cncc1-c1cc2nccc(-c3cccc(NC(=O)c4cccc(C(F)(F)F)c4)c3)n2n1,CHEMBL1088768,100.0,nM
NC(=S)c1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,CHEMBL248258,100.0,nM
Cn1c(=O)[nH]c2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4cccnc4)c4ccccc34)c21,CHEMBL1090978,100.0,nM
O=C(Nc1ccc2c(c1)OC(F)(F)O2)c1ccccc1NCc1ccnc(NCCCn2ccnc2)c1,CHEMBL247424,101.0,nM
CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)[nH]c34)cc2)n(-c2ccc(F)cc2F)n1,CHEMBL1089705,104.0,nM
