index,CanonicalSMILES,CID,ROMol,tanimoto_maccs,dice_maccs,tanimoto_morgan,dice_morgan,MACCS_fp,pIC50_pred,IC50_pred
504,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(C)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F,59506884,<rdkit.Chem.rdchem.Mol object at 0x000001923676A4C0>,0.9285714285714286,0.9629629629629628,0.6619718309859155,0.7966101694915254,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 0 1 0 1 0 1 0 0 0 1
 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 1 0 1 0 1 0 0 1 1 1 1 1 1 1 0 0 0
 1 1 0 1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 1 0 1 1 0 1
 1 1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1 0]",7.023214074442946,94.795107969112
505,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)CC2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F,66870822,<rdkit.Chem.rdchem.Mol object at 0x000001923676A520>,0.9285714285714286,0.9629629629629628,0.6811594202898551,0.8103448275862069,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 0 1 0 1 0 1 0 0 0 1
 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 1 1 0 0 1 0 1 0 1 0 0 1 1 1 1 1 1 1 0 0 0
 1 1 0 1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 1 0 1 1 0 1
 1 0 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1 0]",7.023104883058348,94.81894458423287
438,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)CC2=CC3=C(NC=C3C(C4=CC=C(C=C4)Cl)O)N=C2)F,58251983,<rdkit.Chem.rdchem.Mol object at 0x0000019236767700>,0.9315068493150684,0.9645390070921984,0.5822784810126582,0.736,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 1 1 0 0 0 1 0 1 0 1 0 0 0 1
 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 1 0 1 1 1 0 0 1 1 1 1 1 1 1 0 0 0
 1 1 0 1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 0 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1
 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0]",6.987114164313569,103.01152953008605
670,CCC[S+](=O)(NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F)O,143384592,<rdkit.Chem.rdchem.Mol object at 0x00000192367755E0>,0.9452054794520548,0.971830985915493,0.7,0.8235294117647058,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
 0 1 0 1 0 1 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 1 1 1 0 0 1 0 1 0 1 0 0 0 1
 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 1 0 1 1 1 0 0 1 1 1 1 1 1 1 0 0 0
 1 1 0 1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 0 1 1 1 1 1 1 1 1 0 1 0 0 1 0 1 1 1 1
 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0]",6.950319978403127,112.11920808130719
373,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)CCC(=O)O)F,58087463,<rdkit.Chem.rdchem.Mol object at 0x0000019236764340>,0.9178082191780822,0.9571428571428572,0.7,0.8235294117647058,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 0 1 0 1 0 1 0 0 0 1
 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 1 0 1 1 1 0 0 1 1 0 1 1 1 1 0 0 0
 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 0 0 0 0 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1
 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0]",6.897703648019218,126.55996672831296
372,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C=CC(=O)O)F,58087390,<rdkit.Chem.rdchem.Mol object at 0x0000019236764100>,0.9054054054054054,0.950354609929078,0.7,0.8235294117647058,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 0 1 0 1 0 1 0 0 0 1
 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 1 0 1 1 1 1 0 1 1 0 1 1 1 1 0 0 0
 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 0 0 0 0 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1
 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0]",6.895075562564162,127.3281524466105
506,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)CC2=CNC3=C2C=C(C=N3)Cl)F,58086030,<rdkit.Chem.rdchem.Mol object at 0x000001923676A580>,0.9142857142857144,0.9552238805970148,0.5416666666666666,0.7027027027027027,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 0 1 0 1 0 1 0 0 0 1
 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 1 1 0 0 1 0 1 0 1 0 0 1 1 1 1 1 1 1 0 0 0
 1 1 0 1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 1 0 1 1 0 1
 1 0 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1 0]",6.892161097472646,128.18550023417257
626,CCCS(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CC3=C(C=C2)NC4=C3C=C(C=N4)C5=CC=CC=C5F)F,153376300,<rdkit.Chem.rdchem.Mol object at 0x000001923676EAC0>,0.9130434782608696,0.9545454545454546,0.3707865168539326,0.5409836065573771,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 1 0 0 1 0 1 0 1 0 0 0 1
 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 1 0 1 0 1 0 0 1 1 0 1 1 0 1 0 0 0
 1 0 0 1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 1 0 1 1 0 1
 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0]",6.861586670164397,137.53503105117667
575,CCCS(=O)(=O)NC1=CC(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CN(N=C4)C,66646723,<rdkit.Chem.rdchem.Mol object at 0x000001923676CB20>,0.9066666666666666,0.951048951048951,0.5584415584415584,0.7166666666666667,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 1 1 1 0 0 1 0 1 0 1 0 0 0 1
 0 1 0 1 0 0 1 0 0 1 0 0 0 1 1 0 1 0 0 1 1 0 1 1 1 0 0 1 1 0 1 1 1 1 0 0 0
 1 1 0 1 1 0 1 1 0 1 1 1 0 1 1 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 1 0 1 1 1 1
 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0]",6.854929740773537,139.65942807976168
365,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=NN(C=C4)C)F,53262272,<rdkit.Chem.rdchem.Mol object at 0x0000019236763D60>,0.9066666666666666,0.951048951048951,0.7428571428571429,0.8524590163934426,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 1 1 1 0 0 1 0 1 0 1 0 0 0 1
 0 1 0 1 0 0 1 0 0 1 0 0 0 1 1 0 1 0 0 1 1 0 1 1 1 0 0 1 1 0 1 1 1 1 0 0 0
 1 1 0 1 1 0 1 1 0 1 1 1 0 1 1 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 1 0 1 1 1 1
 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0]",6.854929740773537,139.65942807976168
318,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=NN4C)F,66647044,<rdkit.Chem.rdchem.Mol object at 0x0000019236761B20>,0.9066666666666666,0.951048951048951,0.7323943661971831,0.8455284552845529,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 1 1 1 0 0 1 0 1 0 1 0 0 0 1
 0 1 0 1 0 0 1 0 0 1 0 0 0 1 1 0 1 0 0 1 1 0 1 1 1 0 0 1 1 0 1 1 1 1 0 0 0
 1 1 0 1 1 0 1 1 0 1 1 1 0 1 1 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 1 0 1 1 1 1
 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0]",6.854929740773537,139.65942807976168
320,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CN(N=C4)C)F,58087124,<rdkit.Chem.rdchem.Mol object at 0x0000019236761E20>,0.9066666666666666,0.951048951048951,0.7681159420289855,0.8688524590163934,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 1 1 1 0 0 1 0 1 0 1 0 0 0 1
 0 1 0 1 0 0 1 0 0 1 0 0 0 1 1 0 1 0 0 1 1 0 1 1 1 0 0 1 1 0 1 1 1 1 0 0 0
 1 1 0 1 1 0 1 1 0 1 1 1 0 1 1 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 1 0 1 1 1 1
 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0]",6.854929740773537,139.65942807976168
319,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CN(N=C4)C)Cl,66646554,<rdkit.Chem.rdchem.Mol object at 0x0000019236761DC0>,0.92,0.9583333333333334,0.6986301369863014,0.8225806451612904,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 1 1 1 0 0 1 0 1 0 1 0 0 0 1
 0 1 0 1 0 0 1 0 0 1 0 0 0 1 1 0 1 0 0 1 1 0 1 1 1 0 0 1 1 1 1 1 1 1 0 0 0
 1 1 0 1 1 0 1 1 0 1 1 1 0 1 1 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 1 0 1 1 1 1
 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0]",6.809650632381784,155.00630636643356
415,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)CC2=CC3=C(N=C2)N=C(N3)C4=CC=C(C=C4)C)F,58095332,<rdkit.Chem.rdchem.Mol object at 0x0000019236766A00>,0.9178082191780822,0.9571428571428572,0.4523809523809524,0.6229508196721312,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 0 1 0 1 0 1 0 0 0 1
 0 0 0 1 0 1 1 0 0 1 0 0 0 1 1 0 1 1 0 0 1 0 1 0 1 0 0 1 1 0 1 1 1 1 0 0 0
 1 1 0 1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 1 0 1 1 1 1
 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0]",6.801054097840584,158.10510835632144
419,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)CC2=CC3=C(N=C2)N=C(N3)C4=CC=CC(=C4)C)F,58095364,<rdkit.Chem.rdchem.Mol object at 0x0000019236766BE0>,0.9178082191780822,0.9571428571428572,0.4204545454545454,0.592,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 0 1 0 1 0 1 0 0 0 1
 0 0 0 1 0 1 1 0 0 1 0 0 0 1 1 0 1 1 0 0 1 0 1 0 1 0 0 1 1 0 1 1 1 1 0 0 0
 1 1 0 1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 1 0 1 1 1 1
 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0]",6.801054097840584,158.10510835632144
275,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F.C(F)(F)(F)S(=O)(=O)O,121364371,<rdkit.Chem.rdchem.Mol object at 0x00000192368EF8E0>,0.9078947368421052,0.9517241379310344,0.9076923076923076,0.9516129032258064,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
 0 1 1 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 0 1 0 1 0 1 0 0 0 1
 0 0 0 1 0 0 0 1 0 1 0 0 0 1 1 0 1 0 0 0 1 0 1 1 1 0 0 1 1 1 1 1 1 1 0 0 0
 1 1 0 1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 0 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1
 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1]",6.7894591669092,162.3831018603231
427,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)CC2=CC3=C(NC(=C3Br)C)N=C2)F,58252053,<rdkit.Chem.rdchem.Mol object at 0x0000019236767040>,0.9295774647887324,0.9635036496350364,0.4810126582278481,0.6495726495726496,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 0 1 0 1 0 1 0 0 0 1
 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 1 0 1 0 1 0 0 1 1 0 1 1 1 1 0 0 0
 1 1 0 1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 1 0 1 1 1 1
 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0]",6.789170627448361,162.49102287388564
274,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F.C(C(=O)O)(Cl)Cl,46940826,<rdkit.Chem.rdchem.Mol object at 0x00000192368EF7C0>,0.9324324324324323,0.965034965034965,0.9076923076923076,0.9516129032258064,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 0 1 0 1 0 1 0 0 0 1
 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 1 0 1 1 1 0 0 1 1 1 1 1 1 1 0 0 0
 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 0 0 0 0 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1
 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",6.785779752931506,163.76468231782732
429,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)CC2=CC3=C(NC(=C3C)C)N=C2)F,58251992,<rdkit.Chem.rdchem.Mol object at 0x0000019236767160>,0.9295774647887324,0.9635036496350364,0.4935064935064935,0.6608695652173913,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 0 1 0 1 0 1 0 0 0 1
 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 1 0 1 0 1 0 0 1 1 0 1 1 1 1 0 0 0
 1 1 0 1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 1 1 0 1 1 1 1
 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0]",6.784232914240094,164.3490075109965
272,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F.C(=CC(=O)O)C(=O)O,46940824,<rdkit.Chem.rdchem.Mol object at 0x00000192368EF700>,0.92,0.9583333333333334,0.9076923076923076,0.9516129032258064,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 0 1 0 1 0 1 0 0 0 1
 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 0 0
 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 0 0 0 0 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1
 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",6.781109054620717,165.53542393385155
459,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)CC2=CN=C3C(=C2)C=C(N3)CC)F,58252033,<rdkit.Chem.rdchem.Mol object at 0x0000019236768220>,0.9428571428571428,0.9705882352941176,0.4743589743589743,0.6434782608695652,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 0 1 0 1 0 1 0 0 0 1
 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 1 0 1 0 1 0 0 1 1 0 1 1 1 1 0 0 0
 1 1 0 1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 1 0 1 1 1 1
 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0]",6.779842778660121,166.0187812405963
439,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)CC2=CC3=C(NC=C3C)N=C2)F,58252007,<rdkit.Chem.rdchem.Mol object at 0x0000019236767760>,0.9428571428571428,0.9705882352941176,0.5753424657534246,0.7304347826086957,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 0 1 0 1 0 1 0 0 0 1
 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 1 0 1 0 1 0 0 1 1 0 1 1 1 1 0 0 0
 1 1 0 1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 1 0 1 1 1 1
 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0]",6.779842778660121,166.0187812405963
